BATHRM,HF_BATHRM,ROOMS,BEDRM,AYB,YR_RMDL,STORIES,SALEDATE,SALEMONTH,SALEDAY,SALEYEAR,GBA,CNDTN,LANDAREA,PRICE
2,0,6,3,1890,2004,2,11/29/04 0:00,11,29,2004,1238,Average,990,406000
2,1,6,3,1890,2006,2,3/5/07 0:00,3,5,2007,1238,Average,990,590000
2,1,9,3,1890,2004,2,5/19/10 0:00,5,19,2010,1407,Average,750,526900
2,1,6,3,1912,2017,2,7/12/17 0:00,7,12,2017,1904,Very Good,1900,1325000
2,1,7,3,1900,2009,2,8/3/09 0:00,8,3,2009,1791,Average,1900,565000
2,1,5,4,1900,2006,2,11/6/12 0:00,11,6,2012,2252,Good,1900,900000
1,1,4,2,1900,2004,2,7/9/18 0:00,7,9,2018,1458,Average,453,825000
2,0,6,3,1880,2006,2,8/20/10 0:00,8,20,2010,888,Average,623,370000
2,0,5,3,1880,2007,2,5/18/17 0:00,5,18,2017,888,Good,919,666000
3,0,6,3,1900,2014,2,11/14/12 0:00,11,14,2012,1458,Average,900,475000
2,1,7,3,1900,1972,2,11/12/14 0:00,11,12,2014,1704,Good,1900,1230000
2,0,8,4,1900,2001,2,9/12/01 0:00,9,12,2001,2096,Average,1900,175000
2,1,8,3,1900,2016,2,9/2/16 0:00,9,2,2016,2305,Good,1900,1400000
2,1,9,4,1900,2007,3,10/30/13 0:00,10,30,2013,3140,Very Good,1900,1375000
2,1,8,3,2001,2009,3,11/3/03 0:00,11,3,2003,1244,Good,608,563000
2,1,8,3,2001,2007,3,5/20/08 0:00,5,20,2008,1244,Good,640,682150
2,1,5,2,1900,2007,2,7/7/16 0:00,7,7,2016,990,Good,716,705000
2,1,5,2,1900,2011,2,8/31/15 0:00,8,31,2015,892,Very Good,625,712000
2,1,5,2,1900,1995,2,11/13/07 0:00,11,13,2007,892,Average,625,350000
1,0,6,4,1910,2010,2,4/27/09 0:00,4,27,2009,1854,Good,926,385000
2,1,6,2,1910,2002,2,12/5/07 0:00,12,5,2007,1318,Average,1282,585000
1,0,6,3,1910,2006,2,1/9/06 0:00,1,9,2006,1590,Fair,1248,50000
3,1,9,3,1900,2003,2,4/22/02 0:00,4,22,2002,1648,Good,1592,368000
2,1,8,3,1900,2011,2,4/9/12 0:00,4,9,2012,1468,Good,1153,675000
3,1,8,4,1900,2008,2,10/19/17 0:00,10,19,2017,1516,Good,1071,1225000
3,1,8,3,1909,2006,2,12/31/14 0:00,12,31,2014,1552,Good,1322,899000
2,1,6,3,1900,2002,2,5/5/15 0:00,5,5,2015,1024,Average,901,650000
3,1,8,3,1900,2008,2,9/14/15 0:00,9,14,2015,1110,Very Good,1535,690000
2,1,8,5,1910,2006,3,6/3/13 0:00,6,3,2013,3051,Good,2606,930000
2,1,6,2,1900,2004,2,1/18/05 0:00,1,18,2005,1546,Good,3288,630000
2,0,6,3,1909,1960,2,1/20/98 0:00,1,20,1998,1554,Average,1275,89500
1,1,6,2,1909,1960,2,12/5/05 0:00,12,5,2005,1440,Average,1302,325000
2,0,8,4,1909,1960,2,9/14/94 0:00,9,14,1994,1440,Average,1302,77000
3,1,9,4,1900,2006,3,9/3/13 0:00,9,3,2013,3196,Very Good,1900,1350000
3,0,10,3,1882,1991,3,11/7/05 0:00,11,7,2005,2103,Average,1596,715000
3,1,12,5,1900,2012,3,10/6/10 0:00,10,6,2010,1950,Good,1596,560000
3,0,16,3,1900,2007,3,9/13/17 0:00,9,13,2017,2193,Average,1596,1005000
3,0,9,4,1900,2012,3,7/12/16 0:00,7,12,2016,1696,Good,728,1270000
2,1,7,3,1900,1977,2,5/14/08 0:00,5,14,2008,1050,Average,658,330000
3,1,6,4,1900,1998,2,4/13/07 0:00,4,13,2007,1114,Fair,658,305000
2,1,6,3,1900,1996,2,2/15/02 0:00,2,15,2002,1050,Average,658,249000
4,1,9,5,1900,2006,3,12/27/07 0:00,12,27,2007,3150,Good,1703,1145000
2,2,10,3,1900,2010,3,5/4/15 0:00,5,4,2015,2282,Average,1717,1137500
2,0,6,3,1900,2010,2,3/20/01 0:00,3,20,2001,1052,Good,616,30000
1,0,4,2,1900,2003,2,7/7/05 0:00,7,7,2005,696,Good,397,399900
1,0,5,3,1900,1996,2,3/20/15 0:00,3,20,2015,696,Good,397,409000
1,0,4,2,1900,1996,2,6/2/16 0:00,6,2,2016,696,Average,397,399000
1,0,4,2,1900,2005,2,8/3/06 0:00,8,3,2006,696,Good,397,375900
1,0,4,1,1900,1996,2,10/1/09 0:00,10,1,2009,696,Average,397,343000
2,0,4,2,1900,2010,2,1/4/11 0:00,1,4,2011,696,Average,397,379000
1,0,4,2,1900,1996,2,12/19/17 0:00,12,19,2017,754,Average,412,450000
1,1,5,2,1985,2001,2,5/21/03 0:00,5,21,2003,942,Average,1250,299900
3,2,6,3,1900,2013,3,8/3/12 0:00,8,3,2012,2196,Good,900,569000
2,1,6,3,1900,1995,2,8/16/13 0:00,8,16,2013,1482,Good,1500,650000
3,1,8,3,2001,2008,3,9/12/12 0:00,9,12,2012,1244,Good,656,750000
2,1,8,3,2001,2014,3,8/14/14 0:00,8,14,2014,1392,Very Good,684,910000
1,1,4,2,1900,2014,2,9/4/14 0:00,9,4,2014,1260,Good,816,632000
1,1,6,3,1900,2003,2,7/30/12 0:00,7,30,2012,1260,Good,816,584900
3,1,9,3,1979,2006,2,4/10/02 0:00,4,10,2002,2030,Average,3372,250000
3,1,9,4,1979,2015,2,12/24/14 0:00,12,24,2014,1540,Good,3372,1025000
3,1,8,5,1900,2008,3,10/3/03 0:00,10,3,2003,2520,Good,1474,595000
4,1,7,5,1885,2005,2.5,6/6/11 0:00,6,6,2011,2622,Good,1816,1055000
4,2,8,4,1885,2005,3,3/6/08 0:00,3,6,2008,2739,Good,1827,1000000
2,1,10,4,1885,2011,3,7/29/11 0:00,7,29,2011,2600,Average,1827,909000
3,1,9,5,1885,2010,3,5/6/11 0:00,5,6,2011,2630,Average,1827,760000
2,1,8,4,1885,2003,3,6/12/00 0:00,6,12,2000,2630,Good,1827,285000
2,1,9,4,1885,2006,3,7/13/10 0:00,7,13,2010,2630,Good,1827,705000
2,0,6,2,1909,1979,2,10/10/00 0:00,10,10,2000,1440,Average,1302,75000
2,0,6,2,1909,1979,2,6/9/08 0:00,6,9,2008,1440,Average,1302,350000
2,1,8,4,1909,2016,2,11/9/17 0:00,11,9,2017,1780,Very Good,1302,760000
2,1,5,3,1909,2003,2,1/9/09 0:00,1,9,2009,1520,Average,1299,380000
1,1,6,3,1909,2014,2,4/15/14 0:00,4,15,2014,1600,Good,1302,528000
1,1,6,3,1909,2005,2,3/10/05 0:00,3,10,2005,1600,Average,1302,190000
1,1,4,2,1900,2013,2,8/12/14 0:00,8,12,2014,990,Good,1005,520000
1,0,7,3,1900,2008,2,11/9/07 0:00,11,9,2007,1092,Average,1535,265000
2,1,6,2,1900,2008,2,2/17/17 0:00,2,17,2017,1300,Good,1800,795000
3,1,8,3,1900,2008,3,11/19/13 0:00,11,19,2013,2898,Good,2114,875000
1,1,5,3,1900,1986,2,4/25/03 0:00,4,25,2003,1445,Good,1650,345000
2,1,8,3,1900,1992,2,6/23/16 0:00,6,23,2016,1440,Good,1650,880000
2,1,4,2,1906,2013,2,12/26/12 0:00,12,26,2012,1100,Good,1085,625000
2,2,8,4,1890,2008,2,6/13/08 0:00,6,13,2008,1510,Average,1442,650000
2,1,7,2,1880,2011,2,1/3/12 0:00,1,3,2012,1212,Good,1300,480000
1,0,4,2,1961,2010,2,12/11/14 0:00,12,11,2014,728,Average,608,607000
2,1,7,3,1880,2013,2,8/25/17 0:00,8,25,2017,1856,Good,1773,981000
1,0,5,2,1880,1980,2,10/23/03 0:00,10,23,2003,1072,Good,1285,269000
4,1,9,4,1900,2008,3,6/23/10 0:00,6,23,2010,2034,Good,703,875000
3,0,7,4,1900,2003,2,8/9/07 0:00,8,9,2007,1270,Average,1830,393890
2,1,9,4,1910,1978,2,6/22/92 0:00,6,22,1992,1270,Average,1405,138000
4,1,12,6,1900,2006,3,5/20/05 0:00,5,20,2005,3513,Average,1411,1101200
2,1,7,3,1900,2010,2,10/14/04 0:00,10,14,2004,1088,Average,898,675000
5,1,12,5,1958,2004,3,12/13/17 0:00,12,13,2017,3900,Good,1764,1575000
5,1,14,4,1890,2005,3,6/23/06 0:00,6,23,2006,2417,Good,783,1312500
2,1,7,3,1890,2006,2,5/17/04 0:00,5,17,2004,2318,Average,1847,753000
2,1,9,3,1890,2011,2,4/21/11 0:00,4,21,2011,1696,Very Good,1574,875000
3,0,6,2,1860,2014,2,7/22/15 0:00,7,22,2015,1705,Very Good,1302,1180000
2,0,12,3,1900,1991,3,8/13/02 0:00,8,13,2002,3879,Average,2125,115899
3,1,10,4,1890,2007,2,5/1/17 0:00,5,1,2017,2372,Very Good,1012,2000000
3,1,10,5,1890,1980,2,6/9/11 0:00,6,9,2011,1908,Average,1000,1060000
3,1,9,4,1891,2010,2,10/24/03 0:00,10,24,2003,1908,Good,1000,729000
4,1,11,5,1900,1989,3,8/24/99 0:00,8,24,1999,3280,Average,1594,421500
2,1,11,4,1889,2010,3,9/20/00 0:00,9,20,2000,2840,Average,1827,307000
4,0,10,8,1885,2012,3,7/22/10 0:00,7,22,2010,2630,Good,1827,670000
2,1,7,3,1895,2000,3,10/11/00 0:00,10,11,2000,2550,Average,1547,212900
